Source,Destination,Protocol,Length
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,221
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
192.168.248.21,176.53.17.23,HTTP,221
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,221
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,221
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,221
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,221
176.53.17.23,192.168.248.21,HTTP,220
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,HTTP,222
192.168.248.21,176.53.17.23,HTTP,222
192.168.248.21,176.53.17.23,HTTP,222
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
192.168.248.21,176.53.17.23,TCP,62
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,HTTP,220
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,HTTP,220
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,199
192.168.248.21,176.53.17.23,TCP,62
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,177.77.205.145,TCP,62
192.168.248.21,200.58.181.182,TCP,62
192.168.248.21,82.213.131.86,TCP,62
192.168.248.21,46.191.175.120,TCP,62
192.168.248.21,85.29.155.183,TCP,62
192.168.248.21,124.39.226.162,TCP,62
192.168.248.21,212.112.118.140,TCP,62
192.168.248.21,188.136.160.76,TCP,62
192.168.248.21,186.22.103.242,TCP,62
192.168.248.21,170.51.184.159,TCP,62
176.53.17.23,192.168.248.21,HTTP,220
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,62
192.168.248.21,176.53.17.23,TCP,54
192.168.248.21,176.53.17.23,HTTP,222
46.191.175.120,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,TCP,60
176.53.17.23,192.168.248.21,HTTP,220
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,176.53.17.23,TCP,54
176.53.17.23,192.168.248.21,TCP,60
192.168.248.21,46.191.175.120,TCP,62
46.191.175.120,192.168.248.21,TCP,60
192.168.248.21,46.191.175.120,TCP,62
46.191.175.120,192.168.248.21,TCP,60
192.168.248.21,200.112.252.155,TCP,62
192.168.248.21,177.77.205.145,TCP,62
192.168.248.21,200.58.181.182,TCP,62
192.168.248.21,82.213.131.86,TCP,62
192.168.248.21,85.29.155.183,TCP,62
192.168.248.21,124.39.226.162,TCP,62
192.168.248.21,212.112.118.140,TCP,62
192.168.248.21,188.136.160.76,TCP,62
192.168.248.21,186.22.103.242,TCP,62
192.168.248.21,170.51.184.159,TCP,62
192.168.248.21,200.112.252.155,TCP,62
177.77.205.145,192.168.248.21,TCP,60
192.168.248.21,177.77.205.145,TCP,62
177.77.205.145,192.168.248.21,TCP,60
192.168.248.21,46.40.84.222,TCP,62
192.168.248.21,200.58.181.182,TCP,62
192.168.248.21,82.213.131.86,TCP,62
192.168.248.21,85.29.155.183,TCP,62
192.168.248.21,124.39.226.162,TCP,62
192.168.248.21,212.112.118.140,TCP,62
192.168.248.21,188.136.160.76,TCP,62
192.168.248.21,186.22.103.242,TCP,62
192.168.248.21,170.51.184.159,TCP,62
192.168.248.21,46.40.84.222,TCP,62
192.168.248.21,200.112.252.155,TCP,62
192.168.248.21,46.40.84.222,TCP,62
192.168.248.21,186.157.21.111,TCP,62
192.168.248.21,178.76.100.113,TCP,62
192.168.248.21,85.92.239.108,TCP,62
192.168.248.21,41.70.153.25,TCP,62
192.168.248.21,77.77.245.215,TCP,62
192.168.248.21,14.96.213.41,TCP,62
192.168.248.21,178.19.22.191,TCP,62
192.168.248.21,201.164.198.244,TCP,62
178.19.22.191,192.168.248.21,TCP,62
192.168.248.21,93.113.88.91,TCP,62
192.168.248.21,178.19.22.191,TCP,54
192.168.248.21,178.19.22.191,TCP,74
14.96.213.41,192.168.248.21,TCP,60
178.19.22.191,192.168.248.21,TCP,1506
178.19.22.191,192.168.248.21,TCP,738
192.168.248.21,178.19.22.191,TCP,54
178.19.22.191,192.168.248.21,TCP,60
192.168.248.21,178.19.22.191,TCP,54
192.168.248.21,178.19.22.191,TCP,54
192.168.248.21,14.96.213.41,TCP,62
186.157.21.111,192.168.248.21,TCP,60
178.19.22.191,192.168.248.21,TCP,60
178.19.22.191,192.168.248.21,TCP,60
14.96.213.41,192.168.248.21,TCP,60
192.168.248.21,186.157.21.111,TCP,62
192.168.248.21,186.98.183.23,TCP,62
192.168.248.21,14.96.213.41,TCP,62
186.157.21.111,192.168.248.21,TCP,60
14.96.213.41,192.168.248.21,TCP,60
192.168.248.21,72.216.6.89,TCP,62
192.168.248.21,186.157.21.111,TCP,62
192.168.248.21,178.76.100.113,TCP,62
192.168.248.21,85.92.239.108,TCP,62
192.168.248.21,41.70.153.25,TCP,62
192.168.248.21,77.77.245.215,TCP,62
192.168.248.21,201.164.198.244,TCP,62
186.157.21.111,192.168.248.21,TCP,60
192.168.248.21,91.218.169.218,TCP,62
192.168.248.21,93.113.88.91,TCP,62
91.218.169.218,192.168.248.21,TCP,60
192.168.248.21,91.218.169.218,TCP,62
91.218.169.218,192.168.248.21,TCP,60
192.168.248.21,186.98.183.23,TCP,62
192.168.248.21,91.218.169.218,TCP,62
192.168.248.21,72.216.6.89,TCP,62
91.218.169.218,192.168.248.21,TCP,60
192.168.248.21,72.200.29.195,TCP,62
192.168.248.21,197.177.23.39,TCP,62
192.168.248.21,72.200.29.195,TCP,62
192.168.248.21,178.76.100.113,TCP,62
192.168.248.21,85.92.239.108,TCP,62
192.168.248.21,41.70.153.25,TCP,62
192.168.248.21,77.77.245.215,TCP,62
192.168.248.21,201.164.198.244,TCP,62
192.168.248.21,93.113.88.91,TCP,62
197.177.23.39,192.168.248.21,TCP,60
192.168.248.21,197.177.23.39,TCP,62
192.168.248.21,186.98.183.23,TCP,62
192.168.248.21,72.216.6.89,TCP,62
197.177.23.39,192.168.248.21,TCP,60
192.168.248.21,197.177.23.39,TCP,62
197.177.23.39,192.168.248.21,TCP,60
192.168.248.21,140.112.251.82,TCP,62
140.112.251.82,192.168.248.21,TCP,62
192.168.248.21,188.158.144.76,TCP,62
192.168.248.21,140.112.251.82,TCP,54
192.168.248.21,140.112.251.82,TCP,74
140.112.251.82,192.168.248.21,TCP,1506
140.112.251.82,192.168.248.21,TCP,738
192.168.248.21,140.112.251.82,TCP,54
140.112.251.82,192.168.248.21,TCP,60
192.168.248.21,140.112.251.82,TCP,54
192.168.248.21,140.112.251.82,TCP,54
140.112.251.82,192.168.248.21,TCP,60
140.112.251.82,192.168.248.21,TCP,60
192.168.248.21,72.200.29.195,TCP,62
192.168.248.21,188.158.144.76,TCP,62
192.168.248.21,88.11.127.0,TCP,62
88.11.127.0,192.168.248.21,TCP,60
192.168.248.21,85.9.126.151,TCP,62
192.168.248.21,68.188.164.247,TCP,62
192.168.248.21,190.200.208.153,TCP,62
192.168.248.21,178.206.166.32,TCP,62
192.168.248.21,95.58.228.90,TCP,62
192.168.248.21,88.11.127.0,TCP,62
95.58.228.90,192.168.248.21,TCP,60
88.11.127.0,192.168.248.21,TCP,60
192.168.248.21,95.58.228.90,TCP,62
192.168.248.21,188.158.144.76,TCP,62
192.168.248.21,88.11.127.0,TCP,62
95.58.228.90,192.168.248.21,TCP,60
88.11.127.0,192.168.248.21,TCP,60
192.168.248.21,41.82.197.81,TCP,62
192.168.248.21,190.105.102.181,TCP,62
192.168.248.21,95.58.228.90,TCP,62
95.58.228.90,192.168.248.21,TCP,60
192.168.248.21,190.205.146.45,TCP,62
192.168.248.21,87.247.42.122,TCP,62
192.168.248.21,85.9.126.151,TCP,62
192.168.248.21,68.188.164.247,TCP,62
192.168.248.21,190.200.208.153,TCP,62
192.168.248.21,178.206.166.32,TCP,62
192.168.248.21,41.82.197.81,TCP,62
192.168.248.21,190.105.102.181,TCP,62
192.168.248.21,190.205.146.45,TCP,62
192.168.248.21,87.247.42.122,TCP,62
192.168.248.21,2.133.223.142,TCP,62
192.168.248.21,2.133.223.142,TCP,62
192.168.248.21,85.9.126.151,TCP,62
192.168.248.21,68.188.164.247,TCP,62
192.168.248.21,190.200.208.153,TCP,62
192.168.248.21,178.206.166.32,TCP,62
192.168.248.21,41.82.197.81,TCP,62
192.168.248.21,190.105.102.181,TCP,62
192.168.248.21,190.205.146.45,TCP,62
192.168.248.21,87.247.42.122,TCP,62
192.168.248.21,177.117.244.4,TCP,62
192.168.248.21,2.133.223.142,TCP,62
192.168.248.21,177.117.244.4,TCP,62
192.168.248.21,188.24.207.62,TCP,62
192.168.248.21,82.114.177.36,TCP,62
188.24.207.62,192.168.248.21,TCP,60
192.168.248.21,188.24.207.62,TCP,62
188.24.207.62,192.168.248.21,TCP,60
192.168.248.21,123.236.51.134,TCP,62
192.168.248.21,188.24.207.62,TCP,62
188.24.207.62,192.168.248.21,TCP,60
192.168.248.21,186.103.104.123,TCP,62
192.168.248.21,197.225.175.149,TCP,62
192.168.248.21,82.114.177.36,TCP,62
192.168.248.21,123.236.51.134,TCP,62
192.168.248.21,186.103.104.123,TCP,62
192.168.248.21,197.225.175.149,TCP,62
192.168.248.21,93.116.2.138,TCP,62
93.116.2.138,192.168.248.21,TCP,62
192.168.248.21,188.187.57.113,TCP,62
192.168.248.21,93.116.2.138,TCP,54
192.168.248.21,93.116.2.138,TCP,54
192.168.248.21,177.31.8.144,TCP,62
192.168.248.21,75.152.62.199,TCP,62
192.168.248.21,189.220.107.185,TCP,62
192.168.248.21,89.238.36.146,TCP,62
192.168.248.21,75.185.37.9,TCP,62
75.185.37.9,192.168.248.21,TCP,60
89.238.36.146,192.168.248.21,TCP,62
192.168.248.21,101.63.129.64,TCP,62
192.168.248.21,89.238.36.146,TCP,54
192.168.248.21,89.238.36.146,TCP,74
192.168.248.21,75.185.37.9,TCP,62
89.238.36.146,192.168.248.21,TCP,1506
89.238.36.146,192.168.248.21,TCP,738
192.168.248.21,89.238.36.146,TCP,54
75.185.37.9,192.168.248.21,TCP,60
89.238.36.146,192.168.248.21,TCP,60
192.168.248.21,89.238.36.146,TCP,54
192.168.248.21,89.238.36.146,TCP,54
192.168.248.21,188.187.57.113,TCP,62
89.238.36.146,192.168.248.21,TCP,60
89.238.36.146,192.168.248.21,TCP,60
192.168.248.21,75.185.37.9,TCP,62
75.185.37.9,192.168.248.21,TCP,60
192.168.248.21,213.149.153.183,TCP,62
213.149.153.183,192.168.248.21,TCP,62
192.168.248.21,187.78.108.125,TCP,62
192.168.248.21,213.149.153.183,TCP,54
192.168.248.21,213.149.153.183,TCP,54
192.168.248.21,82.114.177.36,TCP,62
192.168.248.21,123.236.51.134,TCP,62
192.168.248.21,177.31.8.144,TCP,62
192.168.248.21,75.152.62.199,TCP,62
192.168.248.21,189.220.107.185,TCP,62
192.168.248.21,101.63.129.64,TCP,62
192.168.248.21,186.103.104.123,TCP,62
192.168.248.21,197.225.175.149,TCP,62
192.168.248.21,187.78.108.125,TCP,62
192.168.248.21,188.187.57.113,TCP,62
192.168.248.21,177.31.8.144,TCP,62
192.168.248.21,75.152.62.199,TCP,62
192.168.248.21,189.220.107.185,TCP,62
192.168.248.21,101.63.129.64,TCP,62
192.168.248.21,187.78.108.125,TCP,62
192.168.248.21,65.0.10.88,TCP,62
192.168.248.21,115.241.89.2,TCP,62
192.168.248.21,217.202.252.60,TCP,62
192.168.248.21,112.204.182.1,TCP,62
217.202.252.60,192.168.248.21,TCP,60
192.168.248.21,217.202.252.60,TCP,62
217.202.252.60,192.168.248.21,TCP,60
192.168.248.21,65.0.10.88,TCP,62
192.168.248.21,217.202.252.60,TCP,62
217.202.252.60,192.168.248.21,TCP,60
192.168.248.21,90.13.21.251,TCP,62
192.168.248.21,115.241.89.2,TCP,62
192.168.248.21,112.204.182.1,TCP,62
192.168.248.21,115.184.149.68,TCP,62
192.168.248.21,90.13.21.251,TCP,62
192.168.248.21,190.88.51.39,TCP,62
192.168.248.21,213.102.146.207,TCP,62
192.168.248.21,79.118.8.115,TCP,62
192.168.248.21,95.58.238.186,TCP,62
190.88.51.39,192.168.248.21,TCP,62
192.168.248.21,202.2.108.212,TCP,62
192.168.248.21,190.88.51.39,TCP,54
192.168.248.21,190.88.51.39,TCP,54
192.168.248.21,115.184.149.68,TCP,62
192.168.248.21,188.234.65.95,TCP,62
192.168.248.21,65.0.10.88,TCP,62
192.168.248.21,115.241.89.2,TCP,62
192.168.248.21,213.102.146.207,TCP,62
192.168.248.21,79.118.8.115,TCP,62
192.168.248.21,95.58.238.186,TCP,62
192.168.248.21,202.2.108.212,TCP,62
192.168.248.21,112.204.182.1,TCP,62
115.184.149.68,192.168.248.21,TCP,60
192.168.248.21,115.184.149.68,TCP,62
192.168.248.21,188.234.65.95,TCP,62
115.184.149.68,192.168.248.21,TCP,60
192.168.248.21,124.43.106.124,TCP,62
192.168.248.21,90.13.21.251,TCP,62
177.31.8.144,192.168.248.21,TCP,60
192.168.248.21,124.43.106.124,TCP,62
192.168.248.21,213.102.146.207,TCP,62
192.168.248.21,79.118.8.115,TCP,62
192.168.248.21,95.58.238.186,TCP,62
192.168.248.21,202.2.108.212,TCP,62
192.168.248.21,188.234.65.95,TCP,62
192.168.248.21,82.229.171.246,TCP,62
192.168.248.21,124.43.106.124,TCP,62
192.168.248.21,116.68.88.31,TCP,62
192.168.248.21,2.134.30.148,TCP,62
2.134.30.148,192.168.248.21,TCP,60
192.168.248.21,2.134.30.148,TCP,62
192.168.248.21,82.229.171.246,TCP,62
2.134.30.148,192.168.248.21,TCP,60
192.168.248.21,2.134.30.148,TCP,62
192.168.248.21,88.216.10.102,TCP,62
88.216.10.102,192.168.248.21,TCP,60
2.134.30.148,192.168.248.21,TCP,60
192.168.248.21,164.132.165.59,TCP,62
192.168.248.21,116.68.88.31,TCP,62
192.168.248.21,88.216.10.102,TCP,62
88.216.10.102,192.168.248.21,TCP,60
192.168.248.21,88.216.10.102,TCP,62
88.216.10.102,192.168.248.21,TCP,60
192.168.248.21,72.193.23.174,TCP,62
192.168.248.21,164.132.165.59,TCP,62
192.168.248.21,49.0.151.75,TCP,62
192.168.248.21,92.86.47.198,TCP,62
192.168.248.21,124.125.37.28,TCP,62
192.168.248.21,151.75.5.153,TCP,62
192.168.248.21,72.193.23.174,TCP,62
192.168.248.21,1.160.72.47,TCP,62
192.168.248.21,82.229.171.246,TCP,62
192.168.248.21,116.68.88.31,TCP,62
192.168.248.21,49.0.151.75,TCP,62
192.168.248.21,92.86.47.198,TCP,62
192.168.248.21,124.125.37.28,TCP,62
192.168.248.21,151.75.5.153,TCP,62
192.168.248.21,1.160.72.47,TCP,62
192.168.248.21,190.77.192.172,TCP,62
192.168.248.21,164.132.165.59,TCP,62
192.168.248.21,72.193.23.174,TCP,62
192.168.248.21,190.77.192.172,TCP,62
192.168.248.21,49.0.151.75,TCP,62
192.168.248.21,92.86.47.198,TCP,62
192.168.248.21,124.125.37.28,TCP,62
192.168.248.21,151.75.5.153,TCP,62
192.168.248.21,1.160.72.47,TCP,62
192.168.248.21,113.193.110.157,TCP,62
192.168.248.21,190.77.192.172,TCP,62
192.168.248.21,201.239.61.89,TCP,62